Name,Product_Number,Keywords,Lead_In,Description,External_Link,Quantity,StockDate,Shipping_group,Weight,BoxType,Duration,IsHotDeal,Discontinued,Tax_Amount,IncludesVAT,Price,ListPrice,DealerPrice,Show_Product,Show_Price
MRA SpoilerScreen for Aprilia RSV1000R Mille / SP -'00,MRA.21.012.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors."," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 14.2 inches (360 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia RSV1000R Mille / SP -'00,MRA.21.012.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.","Available in clear or smoke gray only.  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 16.5 inches (420 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RSV1000R Mille / SP -'00,MRA.21.012.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 15 inches (380 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia RSV1000R Mille 01'-03',MRA.21.013.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!"," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 13.8 inches (350 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia RSV1000R Mille 01'-03',MRA.21.013.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors."," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 14.2 inches (360 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia RSV1000R Mille 01'-03',MRA.21.013.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.","Available in clear or smoke gray only.  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 16.5 inches (420 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RSV1000R Mille 01'-03',MRA.21.013.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 15 inches (380 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia RSV1000R Mille 04'-,MRA.21.014.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!"," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 16.9 inches (430 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia RSV1000R Mille 04'-,MRA.21.014.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors."," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 16.3 inches (415 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA Double-Bubble RacingScreen for Aprilia RSV1000R Mille 04'-,MRA.21.014.R,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The original ""double-bubble"" racingscreen!  Available in 10 colors, including a new carbon-look finish.","In 1994, MRA introduced the first “double bubble” racing screen at the IMFA international motorcycle trade fair in Cologne, Germany. The latest generation of MRA RacingScreens includes a revolutionary dome design that is flattened at the top. Instead of creating lift, this new design pushes the front of the bike down onto the road – a more desirable effect when racing!  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 17.3 inches (440 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,109.99,,,on,on
MRA OriginalScreen for Aprilia RSV1000R Tuono,MRA.21.015.O,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Same shape as the original manufacturer's windshield. Available in 10 colors, including a new carbon-look finish!"," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 12 inches (305 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,84.99,,,on,on
MRA SpoilerScreen for Aprilia RSV1000R Tuono,MRA.21.015.S,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"The MRA SpoilerScreen is a flat, sport-styled windshield with a deep recess in the center and a small spoiler in the center. Available in 10 colors."," Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 11.2 inches (285 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,94.99,,,on,on
MRA TouringScreen for Aprilia RSV1000R Tuono,MRA.21.015.T,mra varioscreen maxi variotouringscreen windshield motorcycle touringscreen racingscreen spoilerscreen original replacement Arizona superbike,"Similar in shape to the original windscreen, the MRA TouringScreen includes a raised extension approximately 2-3 inches (5-7 cm) taller than the original windscreen.","Available in clear or smoke gray only.  Bottom of screen is printed with a black raster conforming to the shape of the underlying fairing.  Available in standard width or the narrower ""Superbike"" width, which accomodates widened or raised replacement handlebars.  Overall length: 14.6 inches (370 mm).",www.mra.de,,,3,6,,,off,off,1,FALSE,99.99,,,on,on
